"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRIM9|114088",82.5822227552201,-2.46645938343163,0.242296846473683,-10.1794943653942,2.44830210932669e-24,3.51452833327392e-22
"TMLHE|55217",268.140935697522,-1.57460096634507,0.154705755861671,-10.1780373818346,2.48523087641669e-24,3.54051262356181e-22
"AIFM2|84883",822.718493802253,-1.1117719905212,0.10927717982168,-10.1738715469727,2.59389015510123e-24,3.66752664411118e-22
"MAT2B|27430",3908.63044684124,-0.587160158937532,0.0577864365547176,-10.1608646240291,2.96435823504173e-24,4.16005646342984e-22
"ZNF154|7710",174.194853549223,-1.65048947183221,0.162470631526746,-10.1586942595253,3.03108505142447e-24,4.22218921422498e-22
"KRT24|192666",43.2661254099344,-6.57928989713212,0.647791868536029,-10.156487317448,3.10046196701207e-24,4.28707259482808e-22
"GSTM3|2947",6139.03162534947,-2.16554191912178,0.213371321850653,-10.1491704711729,3.34191879605446e-24,4.5872104350222e-22
"SLC16A12|387700",193.802311745975,-3.98996508691404,0.393201001049142,-10.1473930032426,3.40333311629438e-24,4.63765791680549e-22
"CA2|760",1482.05703674919,-4.73022506415711,0.466328172084015,-10.1435541477535,3.53981210912876e-24,4.78893285699038e-22
"REC8|9985",460.674010230736,-1.85455182613044,0.183111722630344,-10.1279797900996,4.15137551863644e-24,5.57618690199702e-22
"HPD|3242",66.3288493187504,-2.58781470567587,0.255586132890504,-10.1250199938841,4.27891275010319e-24,5.68086482318534e-22
"ZNF74|7625",888.778496635156,0.653771525746687,0.0645714742721733,10.1247731001308,4.2897250991349e-24,5.68086482318534e-22
"ATP8A2|51761",184.975497910815,3.98023348577524,0.393504349541276,10.114839875125,4.74792762731622e-24,6.24369084137633e-22
"CYSLTR2|57105",161.14632560667,-3.74705707289439,0.371250694925191,-10.0930641319054,5.92893249631085e-24,7.74260941618928e-22
"YPEL1|29799",716.984068697258,1.03027029004498,0.102108094823789,10.0899962125721,6.11718786905357e-24,7.8790217724351e-22
"PATE2|399967",252.860890680688,-5.85867387538401,0.580638524574796,-10.0900536692331,6.11360836269544e-24,7.8790217724351e-22
"CA14|23632",338.721761571337,-2.75778444345955,0.273347984424791,-10.0889144994531,6.18496650957307e-24,7.91212892602188e-22
"TMIE|259236",26.1065462443506,-1.84527968124606,0.183277329342946,-10.0682375057593,7.63336892443167e-24,9.69902044756335e-22
"CCDC82|79780",670.181575227269,-0.803222269783535,0.0799194310132651,-10.0504002543539,9.14950390812856e-24,1.15474108048562e-21
"CSRP1|1465",78951.0048261633,-1.52313634564712,0.151880285997106,-10.0285322459568,1.14201549828779e-23,1.43170676302012e-21
"HOXB2|3212",468.100174973415,-2.22208976261539,0.221659134805907,-10.0248057205544,1.18592603030246e-23,1.47690986753892e-21
"MYL3|4634",46.2783665515892,-4.4870262580889,0.447746316392221,-10.0213582866382,1.2280349158202e-23,1.51928924947361e-21
"VAMP3|9341",5120.30465835137,-0.454455158964076,0.045380302061775,-10.0143705157678,1.31798239603035e-23,1.61991235015364e-21
"PLEKHA2|59339",2083.92638541043,-1.19033600086303,0.11891120191517,-10.0102932414408,1.3734482959051e-23,1.67712306522698e-21
"CCDC110|256309",219.344315558851,1.3571087831156,0.13571253354419,9.99987803391573,1.52584871004931e-23,1.85119903177273e-21
"SLC27A4|10999",2371.54073526985,0.854018419755437,0.085512032288603,9.98711405750627,1.7356125028718e-23,2.09219186644257e-21
"ZDHHC9|51114",4664.93968977574,0.97965880495783,0.0981460667765106,9.98164100848403,1.83408009333668e-23,2.19680739842015e-21
"KCNJ5|3762",528.803589422157,-3.05082762025521,0.305780491330677,-9.97718202027478,1.91837675422614e-23,2.28323258627991e-21
"CST2|1470",193.141068732241,3.79327637375869,0.380250007786941,9.97574305346001,1.94639055514016e-23,2.30200467857929e-21
"C5orf4|10826",2375.341945483,-1.30581097724718,0.130912481987357,-9.97468658010233,1.96721549680852e-23,2.31209296359276e-21
"NSF|4905",4399.90068598038,0.755302072431876,0.0757388456165617,9.97245292403446,2.0119738993113e-23,2.35001050786019e-21
"CKM|1158",843.279669039435,-3.46015061194984,0.347284305164937,-9.96345230835153,2.20277873030914e-23,2.55699098910268e-21
"TPM1|7168",47505.5330631684,-1.51328469457359,0.151965256402707,-9.95809654387971,2.32470823387841e-23,2.68197167718304e-21
"ASPA|443",111.869915632792,-2.2103400258737,0.222121342432438,-9.95104748453436,2.49542588989731e-23,2.86137096704384e-21
"FAM83A|84985",179.670888904444,-5.07042521805567,0.510037201336291,-9.94128507640466,2.75253020216782e-23,3.13705033041005e-21
"GCOM1|145781",1606.47492314459,-1.50813639290332,0.15187943114505,-9.92982645202958,3.08792515627036e-23,3.49809834720868e-21
"SOX15|6665",299.638558474218,-1.48267710819053,0.14937247783624,-9.92603945297082,3.20743175999525e-23,3.61172181118028e-21
"APOBEC3G|60489",928.943315318163,-2.07297252570783,0.209080864833313,-9.91469270686479,3.59360564325358e-23,4.02248536436807e-21
"ASPH|444",5463.17763685279,-0.970115018763466,0.097872945442422,-9.91198348407915,3.69241785882663e-23,4.10863419143401e-21
"REPS2|9185",7468.09207291865,1.50767572689204,0.152214749118273,9.9049253480723,3.96265882492964e-23,4.38339995310599e-21
"STIL|6491",343.210118067553,1.35828595000855,0.137259571204949,9.89574670884284,4.3435670790884e-23,4.7766537381437e-21
"ANO1|55107",6721.11984618015,-2.73374058462636,0.276786633022394,-9.87670739289345,5.25306244713398e-23,5.74324647199735e-21
"PTGS1|5742",2778.53292070249,-2.7151970579563,0.275076220160475,-9.87070804001996,5.57695442536841e-23,6.06211722364468e-21
"CAV1|857",7986.16927243043,-1.65307621378001,0.167551541847255,-9.8660758090009,5.84049596072362e-23,6.31209922651768e-21
"MXRA7|439921",10426.9274644497,-1.20920696343438,0.122683917674792,-9.85627934249478,6.43913617793209e-23,6.91931176148646e-21
"TINAGL1|64129",2833.94236538567,-1.32941733723932,0.135025183288463,-9.8456991863451,7.15400505677735e-23,7.64381051663058e-21
"C16orf74|404550",166.982475033818,-1.83732909542818,0.186767865815067,-9.83750115369128,7.76146209494256e-23,8.2460053500223e-21
"SH3RF1|57630",6080.07494654515,1.40350491206604,0.142707573663239,9.83483129898927,7.97010730719258e-23,8.42010493886273e-21
"VWCE|220001",73.9412547817675,-2.10060766937632,0.213855323236417,-9.82256432800645,9.00238722445352e-23,9.45753585228204e-21
"PLBD1|79887",656.728396638939,-1.58460182681036,0.161338468669752,-9.8215995222685,9.08897808827432e-23,9.49545738611104e-21
"ACSF2|80221",1316.53024322111,-1.76157951694144,0.179609435184892,-9.80783395442477,1.04180768811457e-22,1.08238638535881e-20
"C8orf45|157777",110.454147653896,1.1292608052102,0.115289000644378,9.79504375004108,1.18246217258269e-22,1.22176929425371e-20
"ANXA6|309",9799.99959350365,-1.26757409052936,0.129425649834784,-9.79383987754709,1.19663157163984e-22,1.22965337184083e-20
"ARL4D|379",784.400846099365,-1.99231063415462,0.203454589741226,-9.7924093857437,1.21368688967353e-22,1.24040119349515e-20
"LOC100130872|100130872",1440.83959044485,2.59184166172309,0.26494453613268,9.78258204360606,1.33753977501066e-22,1.35959110643652e-20
"KCNF1|3754",32.5799145887041,-2.69857015654602,0.276265216069841,-9.76804172069136,1.54407644998571e-22,1.56109449688071e-20
"LOC100128675|100128675",12.6400822841435,2.44831719275697,0.25066911389614,9.76712748811719,1.55806947785887e-22,1.56681799631744e-20
"NKX2-3|159296",34.5173253835934,3.73874140721683,0.383673361421107,9.74459470777099,1.94553638965671e-22,1.94605381954758e-20
"RGS13|6003",44.5270805665259,-2.21319657090495,0.22725814381601,-9.73868981653204,2.06195601897705e-22,2.05159168978113e-20
"TRPM4|54795",19892.5707431451,1.73117633017542,0.177869744358955,9.73283194629081,2.18425649176976e-22,2.16183912251212e-20
"RHBDL3|162494",169.770822276705,-1.71647982171592,0.176508170205788,-9.72464798493299,2.36722749218228e-22,2.33066560159622e-20
"HMGN4|10473",3786.08328649588,-0.55558409049682,0.0571436564247163,-9.72258558968435,2.41568094535974e-22,2.3659833425776e-20
"WDR55|54853",1281.39002561543,0.448229760255473,0.0461133548638281,9.72017242248124,2.47362271695184e-22,2.41018006177613e-20
"RASL12|51285",3560.80290944071,-1.66614594580194,0.171510710751992,-9.71453000513316,2.61452405276233e-22,2.53433633052555e-20
"CGREF1|10669",1243.99605119842,1.97610624782885,0.203550006947813,9.70821017134869,2.78178821731517e-22,2.68264243213393e-20
"COL2A1|1280",1786.92462513924,5.15004370983521,0.530703064819304,9.70419063170235,2.89363698878377e-22,2.77626752928973e-20
"VPS37C|55048",3666.9745017382,0.69055945937303,0.0711735880758753,9.70246798063421,2.94292381469316e-22,2.80703013975437e-20
"POPDC2|64091",1011.43681877012,-1.68496559870427,0.173671427867414,-9.70203112506581,2.95555420192165e-22,2.80703013975437e-20
"ACTA1|58",605.580890692338,-3.58974286694208,0.370161413557333,-9.69777706553435,3.08138710572099e-22,2.91183339311976e-20
"RAB3D|9545",9030.21489354305,1.03276718650811,0.106516670617574,9.69582677077885,3.14083452632772e-22,2.95316966337964e-20
"LMO3|55885",1081.65616485642,-2.38494586235287,0.246370377077221,-9.68032719942357,3.65544206427868e-22,3.41992975217714e-20
"ANXA2|302",16704.6812562928,-1.118206631481,0.115607982517491,-9.67239983892827,3.95004777426746e-22,3.67725982153959e-20
"NKAPL|222698",59.127642768282,-1.64680894032606,0.170293439274693,-9.67041917375139,4.02725149374749e-22,3.73066326797643e-20
"C3orf64|285203",1690.33257998305,-0.776537577328165,0.0803270899664778,-9.66719418881265,4.15616449038936e-22,3.83120947263588e-20
"MON1B|22879",7575.79257466009,2.2813746290889,0.236424408731649,9.64948856730928,4.94014871322456e-22,4.53168275864331e-20
"ANXA2P2|304",6215.92508499452,-1.14861249538299,0.119054272240751,-9.6478057760101,5.02187284594984e-22,4.58428732369353e-20
"GSTM2|2946",3668.33537107798,-2.44526815954324,0.253767469955464,-9.63586136541607,5.64168313908839e-22,5.12521021403658e-20
"CFL2|1073",5057.86920305123,-1.45868562106024,0.151471175412721,-9.63012016699336,5.96596697906259e-22,5.39375043467653e-20
"SIM2|6493",3063.0738891571,2.37215026062802,0.246407051806096,9.62695768339747,6.15240440403386e-22,5.53569209654817e-20
"CLCNKB|1188",47.4349789636913,-2.58915453181475,0.26898554516293,-9.62562702113397,6.23256339032727e-22,5.58111212167163e-20
"SLC19A1|6573",1657.64007077652,1.38599922032995,0.144188035394694,9.61244264502235,7.08479680117272e-22,6.3141992344101e-20
"GPRC5B|51704",1977.87136040316,-1.68744196856096,0.17573857970037,-9.60200071855598,7.84074307317806e-22,6.95496101373177e-20
"PIPOX|51268",174.303108292603,-1.60778284411103,0.16777479356949,-9.5829821030005,9.42825705712014e-22,8.32386732202555e-20
"PIP5K1B|8395",313.002764465564,-1.9304065064122,0.201467559619389,-9.58172377756057,9.54385574089717e-22,8.38655173867156e-20
